subtype,question,structured,correct_answer
blood_relation,Karan is Kavya's mother. Kavya is Anjali's mother. How is Karan related to Anjali?,Karan|mother|Kavya;Kavya|mother|Anjali,grandmother
direction_sense,"Sneha walks 8km north, then 3km north. How far is Sneha from the starting point?",8km north;3km north,11.0
coding_decoding,"If MAP is coded as QET, how is KEY coded?",MAP->QET;KEY->?,OIC
syllogism,Statement 1: All plants are cats. Statement 2: All cats are birds. Conclusion: All plants are birds. Is the conclusion valid?,All plants are cats|All cats are birds|All plants are birds,valid
blood_relation,Sneha is Priya's son. Priya is Arjun's daughter. How is Sneha related to Arjun?,Sneha|son|Priya;Priya|daughter|Arjun,grandson
direction_sense,"Divya walks 9km south, then 2km north. How far is Divya from the starting point?",9km south;2km north,7.0
coding_decoding,"If FAN is coded as KFS, how is JAM coded?",FAN->KFS;JAM->?,OFR
syllogism,Statement 1: All vehicles are mammals. Statement 2: All mammals are pets. Conclusion: All vehicles are pets. Is the conclusion valid?,All vehicles are mammals|All mammals are pets|All vehicles are pets,valid
blood_relation,Priya is Nikhil's father. Nikhil is Rohit's father. How is Priya related to Rohit?,Priya|father|Nikhil;Nikhil|father|Rohit,grandfather
direction_sense,"Suresh walks 6km east, then 5km south. How far is Suresh from the starting point?",6km east;5km south,7.81
coding_decoding,"If CAT is coded as ECV, how is TOP coded?",CAT->ECV;TOP->?,VQR
syllogism,Statement 1: Some cars are flowers. Statement 2: Some flowers are plants. Conclusion: Some cars are plants. Is the conclusion valid?,Some cars are flowers|Some flowers are plants|Some cars are plants,invalid
blood_relation,Rohit is Nikhil's mother. Nikhil is Anjali's mother. How is Rohit related to Anjali?,Rohit|mother|Nikhil;Nikhil|mother|Anjali,grandmother
direction_sense,"Karan walks 5km north, then 3km north, then 3km south. How far is Karan from the starting point?",5km north;3km north;3km south,5.0
coding_decoding,"If CUP is coded as EWR, how is LOG coded?",CUP->EWR;LOG->?,NQI
syllogism,Statement 1: All mammals are pets. Statement 2: No pets are fruits. Conclusion: No mammals are fruits. Is the conclusion valid?,All mammals are pets|No pets are fruits|No mammals are fruits,valid
blood_relation,Suresh is Priya's daughter. Priya is Arjun's son. How is Suresh related to Arjun?,Suresh|daughter|Priya;Priya|son|Arjun,granddaughter
direction_sense,"Karan walks 4km north, then 5km east. How far is Karan from the starting point?",4km north;5km east,6.4
coding_decoding,"If DOG is coded as ITL, how is LOG coded?",DOG->ITL;LOG->?,QTL
syllogism,Statement 1: All dogs are plants. Statement 2: No plants are fruits. Conclusion: No dogs are fruits. Is the conclusion valid?,All dogs are plants|No plants are fruits|No dogs are fruits,valid
blood_relation,Kavya is Suresh's daughter. Suresh is Rohit's daughter. How is Kavya related to Rohit?,Kavya|daughter|Suresh;Suresh|daughter|Rohit,granddaughter
direction_sense,"Anjali walks 7km south, then 6km east, then 2km west. How far is Anjali from the starting point?",7km south;6km east;2km west,8.06
coding_decoding,"If FAN is coded as IDQ, how is TOP coded?",FAN->IDQ;TOP->?,WRS
syllogism,Statement 1: Some cats are plants. Statement 2: Some plants are foods. Conclusion: Some cats are foods. Is the conclusion valid?,Some cats are plants|Some plants are foods|Some cats are foods,invalid
blood_relation,Sneha is Anjali's mother. Anjali is Nikhil's mother. How is Sneha related to Nikhil?,Sneha|mother|Anjali;Anjali|mother|Nikhil,grandmother
direction_sense,"Priya walks 6km south, then 7km south. How far is Priya from the starting point?",6km south;7km south,13.0
coding_decoding,"If DOG is coded as EPH, how is BOX coded?",DOG->EPH;BOX->?,CPY
syllogism,Statement 1: All mammals are cats. Statement 2: All cats are birds. Conclusion: All mammals are birds. Is the conclusion valid?,All mammals are cats|All cats are birds|All mammals are birds,valid
blood_relation,Nikhil is Rohit's son. Rohit is Divya's son. How is Nikhil related to Divya?,Nikhil|son|Rohit;Rohit|son|Divya,grandson
direction_sense,"Suresh walks 5km north, then 8km west. How far is Suresh from the starting point?",5km north;8km west,9.43
coding_decoding,"If FAN is coded as GBO, how is RUN coded?",FAN->GBO;RUN->?,SVO
syllogism,Statement 1: All mammals are flowers. Statement 2: No flowers are birds. Conclusion: No mammals are birds. Is the conclusion valid?,All mammals are flowers|No flowers are birds|No mammals are birds,valid
blood_relation,Pooja is Rohit's mother. Rohit is Amit's mother. How is Pooja related to Amit?,Pooja|mother|Rohit;Rohit|mother|Amit,grandmother
direction_sense,"Sneha walks 3km south, then 5km west, then 4km north. How far is Sneha from the starting point?",3km south;5km west;4km north,5.1
coding_decoding,"If SUN is coded as WYR, how is BAT coded?",SUN->WYR;BAT->?,FEX
syllogism,Statement 1: Some fruits are animals. Statement 2: All animals are dogs. Conclusion: Some fruits are dogs. Is the conclusion valid?,Some fruits are animals|All animals are dogs|Some fruits are dogs,valid
blood_relation,Sneha is Riya's mother. Riya is Kavya's father. How is Sneha related to Kavya?,Sneha|mother|Riya;Riya|father|Kavya,grandmother
direction_sense,"Suresh walks 8km south, then 4km north. How far is Suresh from the starting point?",8km south;4km north,4.0
coding_decoding,"If PEN is coded as UJS, how is RUN coded?",PEN->UJS;RUN->?,WZS
syllogism,Statement 1: All animals are cats. Statement 2: No cats are dogs. Conclusion: No animals are dogs. Is the conclusion valid?,All animals are cats|No cats are dogs|No animals are dogs,valid
blood_relation,Amit is Arjun's son. Arjun is Nikhil's daughter. How is Amit related to Nikhil?,Amit|son|Arjun;Arjun|daughter|Nikhil,grandson
direction_sense,"Meera walks 9km south, then 4km west, then 9km south. How far is Meera from the starting point?",9km south;4km west;9km south,18.44
coding_decoding,"If FAN is coded as GBO, how is BOX coded?",FAN->GBO;BOX->?,CPY
syllogism,Statement 1: Some fruits are cats. Statement 2: Some cats are mammals. Conclusion: Some fruits are mammals. Is the conclusion valid?,Some fruits are cats|Some cats are mammals|Some fruits are mammals,invalid
blood_relation,Manoj is Karan's father. Karan is Sneha's mother. How is Manoj related to Sneha?,Manoj|father|Karan;Karan|mother|Sneha,grandfather
direction_sense,"Priya walks 8km north, then 5km south, then 6km north. How far is Priya from the starting point?",8km north;5km south;6km north,9.0
coding_decoding,"If MAP is coded as RFU, how is BAT coded?",MAP->RFU;BAT->?,GFY
syllogism,Statement 1: All flowers are vehicles. Statement 2: All vehicles are cats. Conclusion: All flowers are cats. Is the conclusion valid?,All flowers are vehicles|All vehicles are cats|All flowers are cats,valid
blood_relation,Anjali is Suresh's father. Suresh is Rohit's father. How is Anjali related to Rohit?,Anjali|father|Suresh;Suresh|father|Rohit,grandfather
direction_sense,"Amit walks 9km north, then 4km north. How far is Amit from the starting point?",9km north;4km north,13.0
coding_decoding,"If PEN is coded as SHQ, how is RUN coded?",PEN->SHQ;RUN->?,UXQ
syllogism,Statement 1: No dogs are vehicles. Statement 2: Some vehicles are pets. Conclusion: Some pets are not dogs. Is the conclusion valid?,No dogs are vehicles|Some vehicles are pets|Some pets are not dogs,valid
blood_relation,Manoj is Divya's daughter. Divya is Suresh's son. How is Manoj related to Suresh?,Manoj|daughter|Divya;Divya|son|Suresh,granddaughter
direction_sense,"Rohit walks 4km south, then 10km east, then 3km west. How far is Rohit from the starting point?",4km south;10km east;3km west,8.06
coding_decoding,"If CAT is coded as ECV, how is BAT coded?",CAT->ECV;BAT->?,DCV
syllogism,Statement 1: All cars are pets. Statement 2: All pets are dogs. Conclusion: All cars are dogs. Is the conclusion valid?,All cars are pets|All pets are dogs|All cars are dogs,valid
blood_relation,Kavya is Manoj's father. Manoj is Vikram's mother. How is Kavya related to Vikram?,Kavya|father|Manoj;Manoj|mother|Vikram,grandfather
direction_sense,"Manoj walks 5km west, then 5km east. How far is Manoj from the starting point?",5km west;5km east,0.0
coding_decoding,"If CUP is coded as FXS, how is COW coded?",CUP->FXS;COW->?,FRZ
syllogism,Statement 1: All foods are mammals. Statement 2: No mammals are birds. Conclusion: No foods are birds. Is the conclusion valid?,All foods are mammals|No mammals are birds|No foods are birds,valid
blood_relation,Anjali is Riya's daughter. Riya is Nikhil's daughter. How is Anjali related to Nikhil?,Anjali|daughter|Riya;Riya|daughter|Nikhil,granddaughter
direction_sense,"Sneha walks 10km west, then 4km south. How far is Sneha from the starting point?",10km west;4km south,10.77
coding_decoding,"If PEN is coded as TIR, how is RUN coded?",PEN->TIR;RUN->?,VYR
syllogism,Statement 1: All fruits are cats. Statement 2: All cats are plants. Conclusion: All fruits are plants. Is the conclusion valid?,All fruits are cats|All cats are plants|All fruits are plants,valid
blood_relation,Divya is Anjali's daughter. Anjali is Pooja's daughter. How is Divya related to Pooja?,Divya|daughter|Anjali;Anjali|daughter|Pooja,granddaughter
direction_sense,"Riya walks 8km east, then 9km south, then 6km north. How far is Riya from the starting point?",8km east;9km south;6km north,8.54
coding_decoding,"If FAN is coded as IDQ, how is KEY coded?",FAN->IDQ;KEY->?,NHB
syllogism,Statement 1: Some dogs are fruits. Statement 2: All fruits are plants. Conclusion: Some dogs are plants. Is the conclusion valid?,Some dogs are fruits|All fruits are plants|Some dogs are plants,valid
blood_relation,Sneha is Kavya's mother. Kavya is Vikram's father. How is Sneha related to Vikram?,Sneha|mother|Kavya;Kavya|father|Vikram,grandmother
direction_sense,"Manoj walks 4km north, then 9km west. How far is Manoj from the starting point?",4km north;9km west,9.85
coding_decoding,"If FAN is coded as HCP, how is KEY coded?",FAN->HCP;KEY->?,MGA
syllogism,Statement 1: Some animals are foods. Statement 2: All foods are vehicles. Conclusion: Some animals are vehicles. Is the conclusion valid?,Some animals are foods|All foods are vehicles|Some animals are vehicles,valid
blood_relation,Riya is Divya's son. Divya is Karan's daughter. How is Riya related to Karan?,Riya|son|Divya;Divya|daughter|Karan,grandson
direction_sense,"Vikram walks 4km north, then 5km east, then 4km west. How far is Vikram from the starting point?",4km north;5km east;4km west,4.12
coding_decoding,"If PEN is coded as RGP, how is LOG coded?",PEN->RGP;LOG->?,NQI
syllogism,Statement 1: Some flowers are cars. Statement 2: Some cars are pets. Conclusion: Some flowers are pets. Is the conclusion valid?,Some flowers are cars|Some cars are pets|Some flowers are pets,invalid
blood_relation,Pooja is Priya's daughter. Priya is Divya's daughter. How is Pooja related to Divya?,Pooja|daughter|Priya;Priya|daughter|Divya,granddaughter
direction_sense,"Rohit walks 6km south, then 4km west, then 6km west. How far is Rohit from the starting point?",6km south;4km west;6km west,11.66
coding_decoding,"If SUN is coded as UWP, how is COW coded?",SUN->UWP;COW->?,EQY
syllogism,Statement 1: Some mammals are plants. Statement 2: Some plants are cats. Conclusion: Some mammals are cats. Is the conclusion valid?,Some mammals are plants|Some plants are cats|Some mammals are cats,invalid
blood_relation,Nikhil is Arjun's father. Arjun is Suresh's mother. How is Nikhil related to Suresh?,Nikhil|father|Arjun;Arjun|mother|Suresh,grandfather
direction_sense,"Nikhil walks 8km east, then 4km west, then 4km north. How far is Nikhil from the starting point?",8km east;4km west;4km north,5.66
coding_decoding,"If CAT is coded as DBU, how is COW coded?",CAT->DBU;COW->?,DPX
syllogism,Statement 1: All cats are cars. Statement 2: All cars are animals. Conclusion: All cats are animals. Is the conclusion valid?,All cats are cars|All cars are animals|All cats are animals,valid
blood_relation,Karan is Pooja's son. Pooja is Nikhil's daughter. How is Karan related to Nikhil?,Karan|son|Pooja;Pooja|daughter|Nikhil,grandson
direction_sense,"Pooja walks 2km north, then 4km north. How far is Pooja from the starting point?",2km north;4km north,6.0
coding_decoding,"If FAN is coded as GBO, how is COW coded?",FAN->GBO;COW->?,DPX
syllogism,Statement 1: Some vehicles are cats. Statement 2: Some cats are fruits. Conclusion: Some vehicles are fruits. Is the conclusion valid?,Some vehicles are cats|Some cats are fruits|Some vehicles are fruits,invalid
blood_relation,Rohit is Anjali's son. Anjali is Suresh's son. How is Rohit related to Suresh?,Rohit|son|Anjali;Anjali|son|Suresh,grandson
direction_sense,"Sneha walks 5km south, then 7km west. How far is Sneha from the starting point?",5km south;7km west,8.6
coding_decoding,"If SUN is coded as TVO, how is TOP coded?",SUN->TVO;TOP->?,UPQ
syllogism,Statement 1: Some vehicles are birds. Statement 2: Some birds are cars. Conclusion: Some vehicles are cars. Is the conclusion valid?,Some vehicles are birds|Some birds are cars|Some vehicles are cars,invalid
blood_relation,Priya is Suresh's mother. Suresh is Manoj's father. How is Priya related to Manoj?,Priya|mother|Suresh;Suresh|father|Manoj,grandmother
direction_sense,"Vikram walks 6km north, then 7km east, then 4km east. How far is Vikram from the starting point?",6km north;7km east;4km east,12.53
coding_decoding,"If BAT is coded as DCV, how is JAM coded?",BAT->DCV;JAM->?,LCO
syllogism,Statement 1: Some foods are pets. Statement 2: All pets are mammals. Conclusion: Some foods are mammals. Is the conclusion valid?,Some foods are pets|All pets are mammals|Some foods are mammals,valid
blood_relation,Nikhil is Sneha's son. Sneha is Amit's daughter. How is Nikhil related to Amit?,Nikhil|son|Sneha;Sneha|daughter|Amit,grandson
direction_sense,"Suresh walks 6km east, then 8km north, then 5km west. How far is Suresh from the starting point?",6km east;8km north;5km west,8.06
coding_decoding,"If CUP is coded as GYT, how is RUN coded?",CUP->GYT;RUN->?,VYR
syllogism,Statement 1: Some mammals are flowers. Statement 2: All flowers are cars. Conclusion: Some mammals are cars. Is the conclusion valid?,Some mammals are flowers|All flowers are cars|Some mammals are cars,valid
blood_relation,Divya is Karan's daughter. Karan is Manoj's son. How is Divya related to Manoj?,Divya|daughter|Karan;Karan|son|Manoj,granddaughter
direction_sense,"Nikhil walks 8km north, then 9km north. How far is Nikhil from the starting point?",8km north;9km north,17.0
coding_decoding,"If SUN is coded as UWP, how is JAM coded?",SUN->UWP;JAM->?,LCO
syllogism,Statement 1: No dogs are animals. Statement 2: Some animals are pets. Conclusion: Some pets are not dogs. Is the conclusion valid?,No dogs are animals|Some animals are pets|Some pets are not dogs,valid
blood_relation,Amit is Nikhil's son. Nikhil is Meera's daughter. How is Amit related to Meera?,Amit|son|Nikhil;Nikhil|daughter|Meera,grandson
direction_sense,"Sneha walks 10km east, then 9km south, then 6km west. How far is Sneha from the starting point?",10km east;9km south;6km west,9.85
coding_decoding,"If CUP is coded as DVQ, how is LOG coded?",CUP->DVQ;LOG->?,MPH
syllogism,Statement 1: No birds are animals. Statement 2: Some animals are cars. Conclusion: Some cars are not birds. Is the conclusion valid?,No birds are animals|Some animals are cars|Some cars are not birds,valid
blood_relation,Manoj is Sneha's father. Sneha is Vikram's father. How is Manoj related to Vikram?,Manoj|father|Sneha;Sneha|father|Vikram,grandfather
direction_sense,"Arjun walks 5km north, then 6km south, then 6km east. How far is Arjun from the starting point?",5km north;6km south;6km east,6.08
coding_decoding,"If BAT is coded as EDW, how is TOP coded?",BAT->EDW;TOP->?,WRS
syllogism,Statement 1: All vehicles are pets. Statement 2: No pets are foods. Conclusion: No vehicles are foods. Is the conclusion valid?,All vehicles are pets|No pets are foods|No vehicles are foods,valid
blood_relation,Kavya is Meera's father. Meera is Karan's father. How is Kavya related to Karan?,Kavya|father|Meera;Meera|father|Karan,grandfather
direction_sense,"Rohit walks 9km north, then 5km south, then 10km south. How far is Rohit from the starting point?",9km north;5km south;10km south,6.0
coding_decoding,"If DOG is coded as HSK, how is BAT coded?",DOG->HSK;BAT->?,FEX
syllogism,Statement 1: All cars are birds. Statement 2: No birds are animals. Conclusion: No cars are animals. Is the conclusion valid?,All cars are birds|No birds are animals|No cars are animals,valid
blood_relation,Amit is Anjali's son. Anjali is Manoj's son. How is Amit related to Manoj?,Amit|son|Anjali;Anjali|son|Manoj,grandson
direction_sense,"Sneha walks 9km east, then 10km south, then 6km east. How far is Sneha from the starting point?",9km east;10km south;6km east,18.03
coding_decoding,"If BAT is coded as FEX, how is BAT coded?",BAT->FEX;BAT->?,FEX
syllogism,Statement 1: No pets are foods. Statement 2: Some foods are animals. Conclusion: Some animals are not pets. Is the conclusion valid?,No pets are foods|Some foods are animals|Some animals are not pets,valid
blood_relation,Nikhil is Anjali's son. Anjali is Kavya's daughter. How is Nikhil related to Kavya?,Nikhil|son|Anjali;Anjali|daughter|Kavya,grandson
direction_sense,"Karan walks 8km south, then 3km north, then 9km north. How far is Karan from the starting point?",8km south;3km north;9km north,4.0
coding_decoding,"If PEN is coded as RGP, how is BAT coded?",PEN->RGP;BAT->?,DCV
syllogism,Statement 1: Some birds are flowers. Statement 2: Some flowers are vehicles. Conclusion: Some birds are vehicles. Is the conclusion valid?,Some birds are flowers|Some flowers are vehicles|Some birds are vehicles,invalid
blood_relation,Divya is Arjun's daughter. Arjun is Kavya's son. How is Divya related to Kavya?,Divya|daughter|Arjun;Arjun|son|Kavya,granddaughter
direction_sense,"Riya walks 4km east, then 9km west, then 3km south. How far is Riya from the starting point?",4km east;9km west;3km south,5.83
coding_decoding,"If BAT is coded as EDW, how is KEY coded?",BAT->EDW;KEY->?,NHB
syllogism,Statement 1: All cars are vehicles. Statement 2: All vehicles are fruits. Conclusion: All cars are fruits. Is the conclusion valid?,All cars are vehicles|All vehicles are fruits|All cars are fruits,valid
blood_relation,Manoj is Divya's father. Divya is Nikhil's father. How is Manoj related to Nikhil?,Manoj|father|Divya;Divya|father|Nikhil,grandfather
direction_sense,"Nikhil walks 10km south, then 2km west. How far is Nikhil from the starting point?",10km south;2km west,10.2
coding_decoding,"If PEN is coded as UJS, how is RUN coded?",PEN->UJS;RUN->?,WZS
syllogism,Statement 1: All animals are cats. Statement 2: No cats are pets. Conclusion: No animals are pets. Is the conclusion valid?,All animals are cats|No cats are pets|No animals are pets,valid
blood_relation,Kavya is Karan's son. Karan is Amit's daughter. How is Kavya related to Amit?,Kavya|son|Karan;Karan|daughter|Amit,grandson
direction_sense,"Pooja walks 10km west, then 7km west, then 7km south. How far is Pooja from the starting point?",10km west;7km west;7km south,18.38
coding_decoding,"If FAN is coded as GBO, how is BAT coded?",FAN->GBO;BAT->?,CBU
syllogism,Statement 1: All plants are mammals. Statement 2: All mammals are foods. Conclusion: All plants are foods. Is the conclusion valid?,All plants are mammals|All mammals are foods|All plants are foods,valid
blood_relation,Arjun is Pooja's son. Pooja is Meera's son. How is Arjun related to Meera?,Arjun|son|Pooja;Pooja|son|Meera,grandson
direction_sense,"Riya walks 10km east, then 4km north, then 10km east. How far is Riya from the starting point?",10km east;4km north;10km east,20.4
coding_decoding,"If CAT is coded as GEX, how is COW coded?",CAT->GEX;COW->?,GSA
syllogism,Statement 1: All plants are fruits. Statement 2: All fruits are mammals. Conclusion: All plants are mammals. Is the conclusion valid?,All plants are fruits|All fruits are mammals|All plants are mammals,valid
blood_relation,Sneha is Priya's mother. Priya is Anjali's mother. How is Sneha related to Anjali?,Sneha|mother|Priya;Priya|mother|Anjali,grandmother
direction_sense,"Divya walks 2km east, then 9km north, then 5km north. How far is Divya from the starting point?",2km east;9km north;5km north,14.14
coding_decoding,"If FAN is coded as JER, how is COW coded?",FAN->JER;COW->?,GSA
syllogism,Statement 1: All mammals are fruits. Statement 2: All fruits are pets. Conclusion: All mammals are pets. Is the conclusion valid?,All mammals are fruits|All fruits are pets|All mammals are pets,valid
blood_relation,Suresh is Sneha's son. Sneha is Arjun's daughter. How is Suresh related to Arjun?,Suresh|son|Sneha;Sneha|daughter|Arjun,grandson
direction_sense,"Divya walks 2km north, then 7km north. How far is Divya from the starting point?",2km north;7km north,9.0
coding_decoding,"If DOG is coded as FQI, how is BAT coded?",DOG->FQI;BAT->?,DCV
syllogism,Statement 1: Some dogs are pets. Statement 2: All pets are cats. Conclusion: Some dogs are cats. Is the conclusion valid?,Some dogs are pets|All pets are cats|Some dogs are cats,valid
blood_relation,Riya is Vikram's daughter. Vikram is Anjali's daughter. How is Riya related to Anjali?,Riya|daughter|Vikram;Vikram|daughter|Anjali,granddaughter
direction_sense,"Nikhil walks 9km north, then 9km east. How far is Nikhil from the starting point?",9km north;9km east,12.73
coding_decoding,"If PEN is coded as RGP, how is KEY coded?",PEN->RGP;KEY->?,MGA
syllogism,Statement 1: No fruits are flowers. Statement 2: Some flowers are mammals. Conclusion: Some mammals are not fruits. Is the conclusion valid?,No fruits are flowers|Some flowers are mammals|Some mammals are not fruits,valid
blood_relation,Manoj is Rohit's father. Rohit is Pooja's father. How is Manoj related to Pooja?,Manoj|father|Rohit;Rohit|father|Pooja,grandfather
direction_sense,"Sneha walks 7km north, then 10km east, then 6km east. How far is Sneha from the starting point?",7km north;10km east;6km east,17.46
coding_decoding,"If PEN is coded as UJS, how is KEY coded?",PEN->UJS;KEY->?,PJD
syllogism,Statement 1: Some vehicles are flowers. Statement 2: All flowers are fruits. Conclusion: Some vehicles are fruits. Is the conclusion valid?,Some vehicles are flowers|All flowers are fruits|Some vehicles are fruits,valid
blood_relation,Manoj is Suresh's father. Suresh is Vikram's father. How is Manoj related to Vikram?,Manoj|father|Suresh;Suresh|father|Vikram,grandfather
direction_sense,"Nikhil walks 10km north, then 7km west. How far is Nikhil from the starting point?",10km north;7km west,12.21
coding_decoding,"If SUN is coded as UWP, how is RUN coded?",SUN->UWP;RUN->?,TWP
syllogism,Statement 1: All pets are fruits. Statement 2: No fruits are mammals. Conclusion: No pets are mammals. Is the conclusion valid?,All pets are fruits|No fruits are mammals|No pets are mammals,valid
blood_relation,Rohit is Amit's father. Amit is Anjali's father. How is Rohit related to Anjali?,Rohit|father|Amit;Amit|father|Anjali,grandfather
direction_sense,"Arjun walks 10km east, then 4km west. How far is Arjun from the starting point?",10km east;4km west,6.0
coding_decoding,"If SUN is coded as TVO, how is BOX coded?",SUN->TVO;BOX->?,CPY
syllogism,Statement 1: Some animals are fruits. Statement 2: Some fruits are cats. Conclusion: Some animals are cats. Is the conclusion valid?,Some animals are fruits|Some fruits are cats|Some animals are cats,invalid
blood_relation,Vikram is Pooja's son. Pooja is Manoj's son. How is Vikram related to Manoj?,Vikram|son|Pooja;Pooja|son|Manoj,grandson
direction_sense,"Nikhil walks 9km west, then 5km north. How far is Nikhil from the starting point?",9km west;5km north,10.3
coding_decoding,"If FAN is coded as KFS, how is BOX coded?",FAN->KFS;BOX->?,GTC
syllogism,Statement 1: All pets are cars. Statement 2: No cars are birds. Conclusion: No pets are birds. Is the conclusion valid?,All pets are cars|No cars are birds|No pets are birds,valid
blood_relation,Nikhil is Karan's daughter. Karan is Suresh's daughter. How is Nikhil related to Suresh?,Nikhil|daughter|Karan;Karan|daughter|Suresh,granddaughter
direction_sense,"Vikram walks 5km west, then 4km west, then 8km east. How far is Vikram from the starting point?",5km west;4km west;8km east,1.0
coding_decoding,"If DOG is coded as EPH, how is TOP coded?",DOG->EPH;TOP->?,UPQ
syllogism,Statement 1: Some dogs are pets. Statement 2: Some pets are plants. Conclusion: Some dogs are plants. Is the conclusion valid?,Some dogs are pets|Some pets are plants|Some dogs are plants,invalid
blood_relation,Priya is Rohit's son. Rohit is Riya's daughter. How is Priya related to Riya?,Priya|son|Rohit;Rohit|daughter|Riya,grandson
direction_sense,"Suresh walks 10km south, then 9km north. How far is Suresh from the starting point?",10km south;9km north,1.0
coding_decoding,"If BAT is coded as EDW, how is LOG coded?",BAT->EDW;LOG->?,ORJ
syllogism,Statement 1: All pets are fruits. Statement 2: No fruits are foods. Conclusion: No pets are foods. Is the conclusion valid?,All pets are fruits|No fruits are foods|No pets are foods,valid
